"Age", "Male", "Female"
"0-4", 9357931, 8945051
"5-9", 9901047, 9462511
"10-14", 10415552, 9934351
"15-19", 11139605, 10618375
"20-24", 11450381, 10987637
"25-29", 11577541, 11086745
"30-34", 11823945, 11400576
"35-39", 11652838, 11339100
"40-44", 11166761, 10940749
"45-49", 10263984, 10176982
"50-54", 9944341, 9960184
"55-59", 10010369, 10140586
"60-64", 10244138, 10748376
"65-69", 9386492, 10223755
"70-74", 7593180, 8738410
"75-79", 5723155, 6916132
"80-84", 3304437, 4393999
"85-89", 1668923, 2568188
"90-94", 700090, 1331801
"95-99", 194620, 476898
"100 + ", 24224, 82299
